00:07:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:04  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:04  L -> UBX CFG,  Size   8,  'Config'
00:07:05  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:05  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:05  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:05  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:06  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:06  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:06  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:06  L -> UBX CFG,  Size   8,  'Config'
00:07:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:07  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:07  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:07  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:07  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:07  L -> UBX CFG,  Size   8,  'Config'
00:07:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:08  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:08  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:08  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:08  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:08  L -> UBX CFG,  Size   8,  'Config'
00:07:09  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:09  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:09  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
