??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:12  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:13  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:13  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:13  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:13  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:13  L -> UBX CFG,  Size  10,  'Config'
00:14:14  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
00:14:14  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
00:14:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:14  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:14  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:15  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:15  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:15  L -> UBX CFG,  Size  10,  'Config'
00:14:15  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:15  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:16  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:16  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:16  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:16  L -> UBX CFG,  Size  10,  'Config'
00:14:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:16  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:17  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:17  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:17  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:17  L -> UBX CFG,  Size  10,  'Config'
00:14:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:17  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:18  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:18  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:18  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:18  L -> UBX CFG,  Size  10,  'Config'
00:14:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:18  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:19  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:19  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:19  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:19  L -> UBX CFG,  Size  10,  'Config'
00:14:19  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:19  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:20  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:20  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:20  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:20  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:20  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:20  L -> UBX CFG,  Size  10,  'Config'
00:14:21  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:21  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:21  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:21  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:21  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:21  L -> UBX CFG,  Size  10,  'Config'
00:14:22  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:22  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:22  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:22  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:22  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:23  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:23  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:23  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:23  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:23  L -> UBX CFG,  Size  10,  'Config'
00:14:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:23  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:24  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:24  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:24  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:24  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:24  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:24  L -> UBX CFG,  Size  10,  'Config'
00:14:25  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:25  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:25  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:25  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:25  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:25  L -> UBX CFG,  Size  10,  'Config'
00:14:26  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:26  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:26  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:26  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:26  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:27  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:27  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:27  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:27  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:27  L -> UBX CFG,  Size  10,  'Config'
00:14:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:28  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:28  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:28  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:28  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:28  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:28  L -> UBX CFG,  Size  10,  'Config'
00:14:29  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:29  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:29  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:29  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:30  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:30  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:30  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:30  L -> UBX CFG,  Size  10,  'Config'
00:14:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:30  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:31  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:31  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:31  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:31  L -> UBX CFG,  Size  10,  'Config'
00:14:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:31  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:32  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:32  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:32  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:32  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:32  L -> UBX CFG,  Size  10,  'Config'
00:14:33  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:33  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:33  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:33  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:33  L -> NMEA GPGSV,  Size  44,  'GNSS Satellites in View'
00:14:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:33  L -> UBX CFG,  Size  10,  'Config'
00:14:34  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:34  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:34  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
00:14:34  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:14:34  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
