??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:55  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:55  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:55  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:55  L -> UBX CFG,  Size   8,  'Config'
00:12:56  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:56  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:56  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:56  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:56  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:56  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:57  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:57  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:57  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:57  L -> UBX CFG,  Size   8,  'Config'
00:12:57  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:57  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:58  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:58  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:58  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:58  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:58  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:58  L -> UBX CFG,  Size   8,  'Config'
00:12:59  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:12:59  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:12:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:59  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:59  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:59  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:59  L -> UBX CFG,  Size   8,  'Config'
00:13:00  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:00  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:00  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
00:13:00  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:00  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:00  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:00  L -> UBX CFG,  Size   8,  'Config'
00:13:01  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:01  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:01  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:01  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:01  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:01  L -> UBX CFG,  Size   9,  'Config'
00:13:02  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:02  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
